min,mean,max,month,5%,10%,25%,75%,90%,95%
0.0254,0.2430,1.6357,1,0.0505,0.0778,0.1133,0.2421,0.4477,0.7046
0.0039,0.3022,1.6969,2,0.0308,0.0526,0.1116,0.2990,0.9148,1.3167
0.0486,0.4805,3.4231,3,0.0670,0.0822,0.1115,0.3513,1.4322,2.4173
0.0816,1.6819,11.1730,4,0.0826,0.1154,0.1494,2.6291,4.8024,6.8887
0.1305,2.8006,9.6444,5,0.2197,0.2534,0.4527,4.4177,7.2778,9.4986
0.3308,4.2494,12.4308,6,0.3826,0.5404,2.0795,6.3932,8.0005,10.8988
0.3187,5.0721,14.6576,7,0.5140,0.7860,2.9406,7.1337,9.9039,14.5162
0.5569,3.4013,8.8088,8,0.9091,1.3140,1.5859,4.6558,6.7445,7.6699
0.2820,2.4823,8.7663,9,0.3271,0.4240,1.0137,3.6842,4.3486,5.5787
0.1528,1.6160,4.8588,10,0.1782,0.3028,0.5116,2.7502,3.4887,4.2341
0.1077,0.9249,4.2008,11,0.1309,0.1656,0.2387,1.2885,2.3596,3.0202
0.0416,0.4388,3.6373,12,0.0968,0.1220,0.2067,0.4053,0.7836,1.3864
